0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
196.9.132.4,88.160.34.4,7.774844006479624,2888.345367695756,38518.82051939275,31.0,29,0,23.41166752406702,39602.563756314456,50480.17188,47.84432617901482,4,0,0,0,0,132,76,0,0,9.89101,10.682733,1421927431.52562,1421927414,84.35855696370159,7.564333,0.0,0.0,0.0003312040888754,0,0,0,0,0,8.510993479146759,4,2,3,2.499750032342616,1,2,1.0
196.9.132.4,88.160.34.4,0.0011021199056386,142.52524787044146,175.05406467514766,31.0,29,0,0.0,516374.71873745817,636282.375,2.0,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927424.103571,1421927414,0.0129870620872539,0.013,0.0,0.0,0.0,0,0,0,0,0,8.314096318226623,8,1,2,0.6745953009609462,1,1,1.0
196.9.132.4,88.160.34.4,0.0189827036613815,742.3286209939015,572.1682804647694,31.0,29,0,1.8056319882710348,385351.3391227903,542597.1875,9.967150807464863,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927434.728184,1421927414,0.8439497246067087,0.0139999999999999,0.0,0.0,0.0002806041718787,0,0,0,0,0,8.48871931202666,9,1,1,2.455084052058883,1,1,1.0
196.9.132.4,88.160.34.4,0.0010762128255677,133.89424288301515,165.618900208021,31.0,29,0,0.0,500198.7422345224,609067.5625,2.0,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927428.677363,1421927414,0.0114022385350436,0.003,0.0,0.0,0.0,0,0,0,0,0,6.606415501848459,9,1,1,1.414728465749565,1,1,1.0
196.9.132.4,88.160.34.4,6.650008322982053,6082.957831561864,23668.979706900973,31.0,29,0,12.380360192687755,21614.37223790065,23896.14258,31.587810681687174,4,0,0,0,0,142,78,0,0,29.682221,34.37034,1421927433.7480247,1421927414,114.77296030781362,24.315,0.0,0.0,0.0003746426672641,0,0,0,0,0,5.563963897850359,4,2,3,3.0302292603897127,1,2,1.0
196.9.132.4,88.160.34.4,0.0011527157685729,131.46199345250636,163.4418609554018,31.0,29,0,0.0,457928.9294925603,578483.25,2.0,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927427.733255,1421927414,0.0135028430101195,0.013,0.0,0.0,0.0,0,0,0,0,0,7.26135582837101,7,1,2,1.5501861490723448,1,1,1.0
196.9.132.4,88.160.34.4,5.870738453042016,739.2786723033876,576.8924469106938,29.65497295391584,0,0,1.2233328011096902,868.2863826408147,0.0,5.839899453345985,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927432.588315,1421927415,813.1573111655129,0.0,0.0,0.0,9.431548540611998e-05,1,2,0,0,0,5.378405494627394,2,2,2,3.432593783180419,2,2,1.0
196.9.132.4,88.160.34.4,0.0011021199056386,142.52524787044146,175.05406467514766,31.0,29,0,0.0,516374.71873745817,632326.8125,2.0,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927424.103571,1421927415,0.0129870620872539,0.013,0.0,0.0,0.0,0,0,0,0,0,8.314096318226623,7,3,1,0.6745953009609462,1,1,1.0
196.9.132.4,88.160.34.4,0.0011527157685729,131.46199345250636,163.4418609554018,31.0,29,0,0.0,457928.9294925603,562125.0625,2.0,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927427.733255,1421927415,0.0135028430101195,0.013,0.0,0.0,0.0,0,0,0,0,0,7.26135582837101,7,2,1,1.5501861490723448,1,1,1.0
196.9.132.4,88.160.34.4,5.870738453042016,739.2786723033876,576.8924469106938,29.65497295391584,0,0,1.2233328011096902,868.2863826408147,0.0,5.839899453345985,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927432.588315,1421927415,813.1573111655129,0.0,0.0,0.0,9.431548540611998e-05,1,2,0,0,0,5.378405494627394,2,2,2,3.432593783180419,2,2,1.0
196.9.132.4,88.160.34.4,5.870738453042016,739.2786723033876,576.8924469106938,29.65497295391584,0,0,1.2233328011096902,868.2863826408147,0.0,5.839899453345985,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927432.588315,1421927415,813.1573111655129,0.0,0.0,0.0,9.431548540611998e-05,1,2,0,0,0,5.378405494627394,2,2,2,3.432593783180419,2,2,1.0
196.9.132.4,88.160.34.4,5.870738453042016,739.2786723033876,576.8924469106938,29.65497295391584,0,0,1.2233328011096902,868.2863826408147,0.0,5.839899453345985,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927432.588315,1421927415,813.1573111655129,0.0,0.0,0.0,9.431548540611998e-05,1,2,0,0,0,5.378405494627394,2,2,2,3.432593783180419,2,2,1.0
196.9.132.4,88.160.34.4,0.0010972438866021,132.19388725428067,164.63914713588633,31.0,29,0,0.0,481235.6359147836,600182.9375,2.0,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927429.1849773,1421927415,0.0111670600407622,0.013,0.0,0.0,0.0,0,0,0,0,0,6.183660712433024,9,2,5,1.4159971706290635,1,1,1.0
196.9.132.4,88.160.34.4,0.2519290657306079,3215.921736099632,-78235.17176077644,31.0,29,0,20.60055201194932,1415398.7276123045,985413.3125,37.13053923744137,4,0,0,0,0,132,76,0,0,0.656903,0.328339,1421927428.274289,1421927415,14.73719671987423,0.237667,0.0,0.0,4.654284698179775e-06,0,0,0,0,0,3.396971272870454,4,2,5,1.0,1,2,1.0
196.9.132.4,88.160.34.4,0.2519290657306079,3215.921736099632,-78235.17176077644,31.0,29,0,20.60055201194932,1415398.7276123045,1042881.625,37.13053923744137,4,0,0,0,0,132,76,0,0,0.640403,0.280968,1421927428.274289,1421927415,14.73719671987423,0.203667,0.0,0.0,4.654284698179775e-06,0,0,0,0,0,3.396971272870454,2,3,5,1.0,1,2,1.0
196.9.132.4,88.160.34.4,0.0011527157685729,131.46199345250636,163.4418609554018,31.0,29,0,0.0,457928.9294925603,581560.3125,2.0,2,0,0,0,0,66,82,0,0,0.0,0.0,1421927427.733255,1421927415,0.0135028430101195,0.015,0.0,0.0,0.0,0,0,0,0,0,7.26135582837101,7,2,1,1.5501861490723448,1,1,1.0
196.9.132.4,88.160.34.4,0.004481493421952,576.0361682454819,350.72272678729416,31.0,29,0,0.0374532173815461,685348.6758644615,363283.5313,3.840861837083737,4,0,0,0,0,142,78,0,0,1.890104,1.610554,1421927431.299097,1421927415,1.0451791141920677,1.149333,0.0,0.0,9.205250284078604e-05,0,0,0,0,0,3.820768099839335,4,2,5,1.2009264496626595,1,2,1.0
196.9.132.4,88.160.34.4,0.004481493421952,576.0361682454819,350.72272678729416,31.0,29,0,0.0374532173815461,685348.6758644615,382196.8125,3.840861837083737,4,0,0,0,0,142,78,0,0,1.7807389999999998,1.549507,1421927431.299097,1421927415,1.0451791141920677,1.103667,0.0,0.0,9.205250284078604e-05,0,0,0,0,0,3.820768099839335,2,3,5,1.2009264496626595,1,2,1.0
