0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,196.9.132.4,88.160.34.4,7.774844006479624,2888.3453676957556,38518.82051939275,31.0,23.41166752406702,39602.563756314456,47.84432617901482,1421927431.52562,84.35855696370159,0.0003312040888754742,8.510993479146759,2.499750032342616,1.0
1,196.9.132.4,88.160.34.4,0.0011021199056386276,142.52524787044146,175.05406467514766,31.0,0.0,516374.71873745817,2.0,1421927424.103571,0.012987062087253946,0.0,8.314096318226623,0.6745953009609462,1.0
2,196.9.132.4,88.160.34.4,0.018982703661381578,742.3286209939015,572.1682804647694,31.0,1.8056319882710348,385351.3391227903,9.967150807464865,1421927434.728184,0.8439497246067087,0.00028060417187873753,8.48871931202666,2.455084052058883,1.0
3,196.9.132.4,88.160.34.4,0.0010762128255677693,133.89424288301515,165.618900208021,31.0,0.0,500198.7422345224,2.0,1421927428.677363,0.011402238535043602,0.0,6.606415501848459,1.4147284657495647,1.0
4,196.9.132.4,88.160.34.4,6.650008322982053,6082.957831561864,23668.979706900973,31.0,12.380360192687755,21614.37223790065,31.587810681687174,1421927433.7480247,114.77296030781362,0.000374642667264158,5.563963897850359,3.0302292603897127,1.0
5,196.9.132.4,88.160.34.4,0.0011527157685729088,131.46199345250636,163.4418609554018,31.0,0.0,457928.9294925603,2.0,1421927427.7332547,0.013502843010119565,0.0,7.26135582837101,1.5501861490723448,1.0
6,196.9.132.4,88.160.34.4,5.870738453042016,739.2786723033876,576.8924469106938,29.65497295391584,1.2233328011096902,868.2863826408147,5.839899453345985,1421927432.588315,813.1573111655129,9.431548540611998e-05,5.378405494627394,3.432593783180419,1.0
7,196.9.132.4,88.160.34.4,0.0011021199056386276,142.52524787044146,175.05406467514766,31.0,0.0,516374.71873745817,2.0,1421927424.103571,0.012987062087253946,0.0,8.314096318226623,0.6745953009609462,1.0
8,196.9.132.4,88.160.34.4,0.0011527157685729088,131.46199345250636,163.4418609554018,31.0,0.0,457928.9294925603,2.0,1421927427.7332547,0.013502843010119565,0.0,7.26135582837101,1.5501861490723448,1.0
9,196.9.132.4,88.160.34.4,5.870738453042016,739.2786723033876,576.8924469106938,29.65497295391584,1.2233328011096902,868.2863826408147,5.839899453345985,1421927432.588315,813.1573111655129,9.431548540611998e-05,5.378405494627394,3.432593783180419,1.0
