0.036133,528,304,31,0,87676.08594,4,1421927414,7.005,0.0,2,1
0.001119,146,178,31,0,521894.5313,2,1421927414,0.017,0.0,12,2
0.001209,132,164,31,0,436724.5625,2,1421927414,0.043,0.0,6,1
0.001169,146,178,31,0,499572.25,2,1421927414,0.005,0.0,7,1
0.0783389999999999,568,312,31,0,43503.23438,4,1421927414,21.003,0.0,2,1
0.001134,132,164,31,0,465608.4688,2,1421927414,0.017,0.0,12,2
0.0,46,0,0,0,0.0,1,1421927415,0.0,0.0,2,2
0.001126,146,178,31,0,518650.0938,2,1421927415,0.018,0.0,6,1
0.001167,132,164,31,0,452442.1563,2,1421927415,0.018,0.0,6,1
0.0,46,0,0,0,0.0,1,1421927415,0.0,0.0,2,2
0.0,46,0,0,0,0.0,1,1421927415,0.0,0.0,2,2
0.0,46,0,0,0,0.0,1,1421927415,0.0,0.0,2,2
0.001093,132,164,31,0,483074.0938,2,1421927415,0.018,0.0,6,1
0.001851,528,304,31,0,1711507.25,4,1421927415,0.471,0.0,8,1
0.001749,528,304,31,0,1811320.75,4,1421927415,0.458333,0.0,8,1
0.0011279999999999,132,164,31,0,468085.125,2,1421927415,0.017,0.0,7,1
0.005153,568,312,31,0,661362.3125,4,1421927415,1.348,0.0,8,2
0.004898,568,312,31,0,695794.1875,4,1421927415,1.269667,0.0,8,2
0.001111,132,164,31,0,475247.5313,2,1421927415,0.018,0.0,5,1
2.1e-05,728,0,254,0,138666672.0,2,1421927415,0.021,0.0,1,1
0.240139,918,25552,62,10,28050.42188,12,1421927416,21.830818,0.044947,3,1
2.39039,1362,268,254,1,4233.619140999999,14,1421927414,183.579303,0.048129,5,1
0.001101,132,164,31,0,479564.0313,2,1421927416,0.017,0.0,7,1
0.001082,132,164,31,0,487985.2188,2,1421927416,0.011,0.0,7,1
0.001122,132,164,31,0,470588.2188,2,1421927416,0.018,0.0,8,2
0.001141,146,178,31,0,511831.75,2,1421927416,0.017,0.0,5,1
0.001164,146,178,31,0,501718.2188,2,1421927416,0.018,0.0,3,1
0.001127,132,164,31,0,468500.4688,2,1421927416,0.017,0.0,6,1
0.001073,132,164,31,0,492078.2813,2,1421927416,0.011,0.0,6,1
